date,lobith
2006-01-01,1272.0
2006-01-02,1261.0
2006-01-03,1320.0
2006-01-04,1581.0
2006-01-05,1906.0
2006-01-06,1885.0
2006-01-07,1733.0
2006-01-08,1581.0
2006-01-09,1482.0
2006-01-10,1400.0
2006-01-11,1328.0
2006-01-12,1277.0
2006-01-13,1229.0
2006-01-14,1186.0
2006-01-15,1158.0
2006-01-16,1124.0
2006-01-17,1092.0
2006-01-18,1085.0
2006-01-19,1097.0
2006-01-20,1141.0
2006-01-21,1275.0
2006-01-22,1450.0
2006-01-23,1591.0
2006-01-24,1645.0
2006-01-25,1610.0
2006-01-26,1550.0
2006-01-27,1449.0
2006-01-28,1362.0
2006-01-29,1287.0
2006-01-30,1231.0
2006-01-31,1195.0
2006-02-01,1163.0
2006-02-02,1130.0
2006-02-03,1085.0
2006-02-04,1059.0
2006-02-05,1047.0
2006-02-06,1036.0
2006-02-07,1050.0
2006-02-08,1065.0
2006-02-09,1130.0
2006-02-10,1208.0
2006-02-11,1274.0
2006-02-12,1308.0
2006-02-13,1299.0
2006-02-14,1240.0
2006-02-15,1168.0
2006-02-16,1173.0
2006-02-17,1282.0
2006-02-18,1728.0
2006-02-19,2599.0
2006-02-20,3549.0
2006-02-21,3969.0
2006-02-22,3866.0
2006-02-23,3415.0
2006-02-24,2986.0
2006-02-25,2618.0
2006-02-26,2323.0
2006-02-27,2099.0
2006-02-28,1945.0
2006-03-01,1819.0
2006-03-02,1728.0
2006-03-03,1621.0
2006-03-04,1547.0
2006-03-05,1491.0
2006-03-06,1481.0
2006-03-07,1659.0
2006-03-08,1879.0
2006-03-09,1971.0
2006-03-10,2143.0
2006-03-11,2806.0
2006-03-12,4197.0
2006-03-13,5267.0
2006-03-14,5668.0
2006-03-15,5402.0
2006-03-16,4725.0
2006-03-17,3935.0
2006-03-18,3264.0
2006-03-19,2830.0
2006-03-20,2563.0
2006-03-21,2361.0
2006-03-22,2184.0
2006-03-23,2077.0
2006-03-24,2023.0
2006-03-25,2064.0
2006-03-26,2221.0
2006-03-27,2461.0
2006-03-28,2835.0
2006-03-29,3377.0
2006-03-30,3880.0
2006-03-31,4198.0
2006-04-01,4630.0
2006-04-02,5264.0
2006-04-03,5625.0
2006-04-04,5675.0
2006-04-05,5504.0
2006-04-06,5232.0
2006-04-07,4877.0
2006-04-08,4485.0
2006-04-09,4147.0
2006-04-10,3899.0
2006-04-11,3674.0
2006-04-12,3480.0
2006-04-13,3515.0
2006-04-14,3881.0
2006-04-15,4144.0
2006-04-16,4140.0
2006-04-17,4025.0
2006-04-18,3952.0
2006-04-19,3943.0
2006-04-20,3898.0
2006-04-21,3808.0
2006-04-22,3645.0
2006-04-23,3448.0
2006-04-24,3258.0
2006-04-25,3092.0
2006-04-26,2967.0
2006-04-27,2855.0
2006-04-28,2759.0
2006-04-29,2717.0
2006-04-30,2733.0
2006-05-01,2812.0
2006-05-02,2842.0
2006-05-03,2882.0
2006-05-04,2812.0
2006-05-05,2664.0
2006-05-06,2469.0
2006-05-07,2290.0
2006-05-08,2177.0
2006-05-09,2105.0
2006-05-10,2077.0
2006-05-11,2065.0
2006-05-12,2100.0
2006-05-13,2241.0
2006-05-14,2309.0
2006-05-15,2334.0
2006-05-16,2312.0
2006-05-17,2252.0
2006-05-18,2297.0
2006-05-19,2457.0
2006-05-20,2504.0
2006-05-21,2521.0
2006-05-22,2579.0
2006-05-23,2738.0
2006-05-24,2759.0
2006-05-25,2730.0
2006-05-26,2707.0
2006-05-27,2749.0
2006-05-28,3018.0
2006-05-29,3426.0
2006-05-30,3691.0
2006-05-31,3670.0
2006-06-01,3588.0
2006-06-02,3711.0
2006-06-03,3913.0
2006-06-04,3993.0
2006-06-05,3930.0
2006-06-06,3759.0
2006-06-07,3498.0
2006-06-08,3248.0
2006-06-09,3040.0
2006-06-10,2822.0
2006-06-11,2638.0
2006-06-12,2479.0
2006-06-13,2316.0
2006-06-14,2177.0
2006-06-15,2082.0
2006-06-16,2000.0
2006-06-17,1935.0
2006-06-18,1894.0
2006-06-19,1872.0
2006-06-20,1895.0
2006-06-21,1902.0
2006-06-22,1887.0
2006-06-23,1858.0
2006-06-24,1847.0
2006-06-25,1805.0
2006-06-26,1813.0
2006-06-27,1811.0
2006-06-28,1820.0
2006-06-29,1844.0
2006-06-30,1783.0
2006-07-01,1766.0
2006-07-02,1815.0
2006-07-03,1807.0
2006-07-04,1746.0
2006-07-05,1672.0
2006-07-06,1624.0
2006-07-07,1582.0
2006-07-08,1543.0
2006-07-09,1607.0
2006-07-10,1672.0
2006-07-11,1692.0
2006-07-12,1651.0
2006-07-13,1562.0
2006-07-14,1489.0
2006-07-15,1441.0
2006-07-16,1415.0
2006-07-17,1380.0
2006-07-18,1355.0
2006-07-19,1317.0
2006-07-20,1270.0
2006-07-21,1240.0
2006-07-22,1211.0
2006-07-23,1188.0
2006-07-24,1184.0
2006-07-25,1173.0
2006-07-26,1179.0
2006-07-27,1184.0
2006-07-28,1170.0
2006-07-29,1152.0
2006-07-30,1162.0
2006-07-31,1180.0
2006-08-01,1196.0
2006-08-02,1183.0
2006-08-03,1200.0
2006-08-04,1205.0
2006-08-05,1239.0
2006-08-06,1232.0
2006-08-07,1232.0
2006-08-08,1300.0
2006-08-09,1371.0
2006-08-10,1453.0
2006-08-11,1510.0
2006-08-12,1517.0
2006-08-13,1505.0
2006-08-14,1515.0
2006-08-15,1532.0
